model,fold,macro_f1,precision_Decline,precision_Stable,precision_Growth,recall_Decline,recall_Stable,recall_Growth,f1_Decline,f1_Stable,f1_Growth,combo_id,start_year,start_month,window_months,target_offset,n_stores
rf,1,0.43403154549333783,0.28171206225680934,0.7099182367579097,0.3154592127780947,0.30445752733389403,0.5896073221139652,0.4337254901960784,0.2926434923201294,0.6441935483870967,0.3652575957727873,sy2021_sm02_w1m_off2,2021,2,1,2,29254
rf,2,0.44321762987958985,0.29704510108864696,0.7142857142857143,0.3213872832369942,0.32127838519764507,0.5978742249778565,0.43607843137254904,0.3086868686868687,0.6509161041465766,0.37004991680532445,sy2021_sm02_w1m_off2,2021,2,1,2,29254
rf,3,0.436478146794343,0.29411764705882354,0.7176339285714286,0.30739081746920494,0.3406223717409588,0.5695305580159433,0.43058823529411766,0.3156664068589244,0.6350617283950617,0.3587063051290428,sy2021_sm02_w1m_off2,2021,2,1,2,29254
rf,4,0.4359831947662512,0.2978227060653188,0.699382292381606,0.3115151515151515,0.32211942809083266,0.6017124298789489,0.40345368916797486,0.3094949494949495,0.6468814473893033,0.35157318741450067,sy2021_sm02_w1m_off2,2021,2,1,2,29254
lgb,0,0.45455596749578503,0.32905067808708066,0.7100398695179413,0.3246599645180367,0.38772077375946173,0.5783879539415412,0.43058823529411766,0.355984555984556,0.6374877969410999,0.37019554956169926,sy2021_sm02_w1m_off2,2021,2,1,2,29254
lgb,1,0.4454644227679454,0.3152099105299381,0.7127659574468085,0.31540203850509624,0.38519764507989906,0.5538824918807204,0.43686274509803924,0.34670704012112036,0.6233593620202692,0.3663268661624466,sy2021_sm02_w1m_off2,2021,2,1,2,29254
lgb,2,0.4601734680624075,0.3455056179775281,0.7149583484244839,0.31932773109243695,0.41379310344827586,0.5828166519043402,0.4172549019607843,0.37657864523536166,0.6421600520494469,0.3617817069024141,sy2021_sm02_w1m_off2,2021,2,1,2,29254
lgb,3,0.4595129923508252,0.3445378151260504,0.7251995438996579,0.31529017857142855,0.41379310344827586,0.5633303808680248,0.44313725490196076,0.37600305693542224,0.634097706879362,0.36843821323769155,sy2021_sm02_w1m_off2,2021,2,1,2,29254
lgb,4,0.4483129211163508,0.33259911894273125,0.7030367231638418,0.30917874396135264,0.3809924306139613,0.5878358429288456,0.40188383045525905,0.3551548412387299,0.640295867502814,0.34948805460750854,sy2021_sm02_w1m_off2,2021,2,1,2,29254
rf,0,0.4953478458728436,0.21949404761904762,0.6984585741811176,0.5685045948203843,0.3959731543624161,0.6011608623548922,0.5468059461631177,0.28243178554332216,0.6461675579322638,0.5574441941429449,sy2021_sm02_w2m_off1,2021,2,2,1,34260
rf,1,0.4972912570756621,0.21732522796352582,0.7067371202113606,0.5681818181818182,0.3838926174496644,0.5914870093974571,0.5725190839694656,0.2775351770984959,0.6439963888052964,0.5703422053231939,sy2021_sm02_w2m_off1,2021,2,2,1,34260
rf,2,0.501363632808444,0.22877930476960387,0.7038216560509554,0.566060606060606,0.37986577181208053,0.610665929814866,0.5631028938906752,0.28557013118062563,0.6539428909602012,0.5645778762845053,sy2021_sm02_w2m_off1,2021,2,2,1,34260
rf,3,0.49611555400910756,0.22892498066511988,0.7027027027027027,0.5528712871287129,0.39731543624161075,0.5891130146449295,0.5610932475884244,0.2904808635917566,0.6409138734405532,0.556951924995013,sy2021_sm02_w2m_off1,2021,2,2,1,34260
rf,4,0.5086235107772,0.24153846153846154,0.7003495392437242,0.5771309771309772,0.42091152815013405,0.6091763405196241,0.5578778135048231,0.3069403714565005,0.6515890613451589,0.5673410995299407,sy2021_sm02_w2m_off1,2021,2,2,1,34260
lgb,0,0.4962568770352345,0.2258606213266163,0.6986701265001621,0.5581846392552366,0.3610738255033557,0.5953565505804311,0.5781438328646042,0.27789256198347106,0.6428891210267125,0.56798894809552,sy2021_sm02_w2m_off1,2021,2,2,1,34260
lgb,1,0.49879707260839873,0.2232387923147301,0.699236155315086,0.5666794038975926,0.3275167785234899,0.607241569928137,0.5958216151064685,0.26550598476605003,0.65,0.5808852330591461,sy2021_sm02_w2m_off1,2021,2,2,1,34260
lgb,2,0.5070864784896972,0.23930846223839855,0.7056,0.5665905631659056,0.3530201342281879,0.6092843326885881,0.5984726688102894,0.28524945770065074,0.6539145907473309,0.5820953870211102,sy2021_sm02_w2m_off1,2021,2,2,1,34260
lgb,3,0.5047108883436664,0.24107142857142858,0.7018831790616022,0.5609849942285494,0.3624161073825503,0.6076264161370545,0.5860128617363344,0.289544235924933,0.6513625592417062,0.5732258698643601,sy2021_sm02_w2m_off1,2021,2,2,1,34260
lgb,4,0.5090801197156313,0.24413553431798435,0.7011128775834659,0.5712050078247262,0.37667560321715815,0.6094527363184079,0.5868167202572347,0.2962572482867686,0.6520774804081029,0.5789056304520223,sy2021_sm02_w2m_off1,2021,2,2,1,34260
rf,0,0.4675111621881158,0.2704248366013072,0.7588371324743971,0.3650357339197361,0.3907910271546635,0.6025708289611752,0.47058823529411764,0.3196523418638339,0.6717356338646001,0.41114551083591333,sy2021_sm02_w2m_off2,2021,2,2,2,30347
rf,1,0.4829185608381195,0.29325259515570934,0.7570356472795498,0.3822843822843823,0.4002361275088548,0.6352663342954605,0.46458923512747874,0.3384922616075886,0.6908260807533172,0.4194373401534527,sy2021_sm02_w2m_off2,2021,2,2,2,30347
rf,2,0.4729741646654137,0.2683134582623509,0.7601137800252844,0.37897169266320047,0.3723404255319149,0.6310679611650486,0.46458923512747874,0.3118811881188119,0.6896057347670251,0.4174355711104041,sy2021_sm02_w2m_off2,2021,2,2,2,30347
rf,3,0.48652300692050904,0.27979274611398963,0.7679365079365079,0.3975014196479273,0.3825265643447462,0.634741537654159,0.4961020552799433,0.3231920199501247,0.6950150840396495,0.44136191677175285,sy2021_sm02_w2m_off2,2021,2,2,2,30347
rf,4,0.47512290345887775,0.2817028985507246,0.7580747308423053,0.37354731599335916,0.36717827626918537,0.6281815796378903,0.47838412473423103,0.31881086622245003,0.6870426173052088,0.4195152268489745,sy2021_sm02_w2m_off2,2021,2,2,2,30347
lgb,0,0.4679404824201266,0.2727272727272727,0.7487277353689568,0.37004662004662003,0.38961038961038963,0.6175236096537251,0.4500354358610914,0.32085561497326204,0.6768257619321449,0.4061400703549728,sy2021_sm02_w2m_off2,2021,2,2,2,30347
lgb,1,0.47776603361872416,0.2667238421955403,0.7513145685122178,0.4009575104727708,0.36717827626918537,0.6373655208606664,0.4745042492917847,0.30899155489319424,0.6896649630891539,0.4346415828738242,sy2021_sm02_w2m_off2,2021,2,2,2,30347
lgb,2,0.46898589409191455,0.2513134851138354,0.7560371517027864,0.3889216263995286,0.3392434988179669,0.6407766990291263,0.46742209631728043,0.2887323943661972,0.6936514699616532,0.42457381794789323,sy2021_sm02_w2m_off2,2021,2,2,2,30347
lgb,3,0.478992146193562,0.27024647887323944,0.7633302151543498,0.3904982618771727,0.3624557260920897,0.6423510889530307,0.47767540751240256,0.30963187090267275,0.6976346537475064,0.42970991393050684,sy2021_sm02_w2m_off2,2021,2,2,2,30347
lgb,4,0.4761940922855383,0.28300094966761635,0.7579499845631368,0.37535171637591447,0.35182998819362454,0.644187877197586,0.4727143869596031,0.3136842105263158,0.6964539007092199,0.41844416562107906,sy2021_sm02_w2m_off2,2021,2,2,2,30347
rf,0,0.5110956042077444,0.17974971558589306,0.6336098088712586,0.7009431092181321,0.42359249329758714,0.57910349373764,0.652321630804077,0.2523961661341853,0.6051317375581196,0.6757589089309283,sy2021_sm02_w3m_off1,2021,2,3,1,34691
rf,1,0.5200900612061963,0.1847953216374269,0.6385110952040086,0.7160231073274551,0.42473118279569894,0.5880026367831246,0.6667610419026048,0.2575387123064385,0.6122168840082362,0.6905145873039144,sy2021_sm02_w3m_off1,2021,2,3,1,34691
rf,2,0.5119411388408944,0.16204217536071033,0.6466739367502726,0.7172854534388314,0.3924731182795699,0.5863546473302571,0.6673272933182333,0.2293794186959937,0.6150388936905791,0.6914051041361103,sy2021_sm02_w3m_off1,2021,2,3,1,34691
rf,3,0.5223905994149024,0.18666666666666668,0.6432624113475177,0.7151533556027938,0.41397849462365593,0.5980877019452687,0.666572318143221,0.2573099415204678,0.6198530668033487,0.6900087899208908,sy2021_sm02_w3m_off1,2021,2,3,1,34691
rf,4,0.5284479270784403,0.1900647948164147,0.6474175035868006,0.7273573200992556,0.4718498659517426,0.5951203428948236,0.6639297848244621,0.270977675134719,0.6201683559525855,0.6941977501480165,sy2021_sm02_w3m_off1,2021,2,3,1,34691
lgb,0,0.5200790827594234,0.19047619047619047,0.639022711631108,0.70816085156712,0.3324396782841823,0.6120632827949901,0.6780860702151755,0.2421875,0.6252525252525253,0.6927972230257449,sy2021_sm02_w3m_off1,2021,2,3,1,34691
lgb,1,0.5224533305228803,0.1898355754857997,0.6369251887439945,0.7177347242921014,0.34139784946236557,0.6117336849044166,0.681766704416761,0.24399615754082613,0.6240753194351042,0.6992885145927109,sy2021_sm02_w3m_off1,2021,2,3,1,34691
lgb,2,0.52196185410043,0.18238993710691823,0.6448630136986301,0.7188054405677115,0.3118279569892473,0.6206328279499012,0.6882785956964892,0.23015873015873015,0.6325159556600605,0.7032108764824992,sy2021_sm02_w3m_off1,2021,2,3,1,34691
lgb,3,0.5225364196559791,0.2,0.6360578540195089,0.7121167883211679,0.2903225806451613,0.6234751071546324,0.6903481460515143,0.23684210526315788,0.6297036297036297,0.7010635240011498,sy2021_sm02_w3m_off1,2021,2,3,1,34691
